代伯之墨,A Dab of Ink
雙重性,Duality
消逝之怒,Dying Anguish
垂死之光,Dying Light
大地吞食者,Earth Drinker
愛我請舉手,Echoes of Love
純潔帝王,Emperor of Purity
帝運,Emperor's Luck
無盡的夜晚,Endless Night
腐爛於血,Etched in Blood
永恆之繫,Eternal Bonds
命運大會,Fateful Meeting
禁忌之力,Forbidden Power
友誼小船,Friendship
骨頭燒到灰燼,From Bone to Ashes
進步發明,Further Invention
寶石匠的憐憫,Gemcutter's Mercy
寶石匠的允諾,Gemcutter's Promise
安賽娜絲贈禮,Gift of Asenath
寶石皇后的贈禮,Gift of the Gemling Queen
希望微光,Glimmer of Hope
亡靈智慧,Grave Knowledge
守護者的挑戰,Guardian's Challenge
靈魂和諧,Harmony of Souls
黑影纏繞,Haunting Shadows
她的面具,Her Mask
陰陽眼,Heterochromia
家園,Home
希望,Hope
明鏡,House of Mirrors
狂妄,Hubris
謙遜,Humility
獵者之願,Hunter's Resolve
獵人的獎賞,Hunter's Reward
不朽決心,Immortal Resolve
不完美的回憶,Imperfect Memories
不朽聖物,Imperial Legacy
驚喜盒,Jack in the Box
審判之聲,Judging Voices
正義野心,Justified Ambition
守護者的腐敗,Keeper's Corruption
鐵骨心腸,Lachrymal Necrosis
蘭塔朵迷惘之愛,Lantador's Lost Love
最後希望,Last Hope
聽天由命,Left to Fate
絕境誘惑,Lethean Temptation
光與諦,Light and Truth
殘墟,Lingering Remnants
失落帝國,Lost Worlds
冰冷愛戀,Love Through Ice
忠誠,Loyalty
瓦爾之運,Luck of the Vaal
好運連連,Lucky Connections
幸運牌組,Lucky Deck
輝煌寶藏,Luminous Trove
莉莎之息,Lysah's Respite
巨著,Magnum Opus
茂爾．佈雷德,Mawr Blaidd
無情軍械,Merciless Armament
正氣,Might is Right
黑暗中的苦難,Misery in Darkness
手套,Mitts
非黑即白,Monochrome
貪婪無盡,More is Never Enough
無痕,No Traces
邊緣之冠,Nook's Crown
寄生旅人,Parasitic Passengers
平靜時刻,Peaceful Moments
完美無瑕,Perfection
偏見,Prejudice
驕者必敗,Pride Before the Fall
初始者的驕傲,Pride of the First Ones
普羅米修斯的裝甲庫,Prometheus' Armoury
興盛,Prosperity
混沌之雨,Rain of Chaos
誘惑之雨,Rain Tempter
鼠輩,Rats
重生,Rebirth
重生與復興,Rebirth and Renewal
魯莽的野心,Reckless Ambition
我懷念的,Remembrance
菩提誓約,Sambodhi's Vow
菩提的智慧,Sambodhi's Wisdom
海洋學者,Scholar of the Seas
七年霉運,Seven Years Bad Luck
命運之晶,Shard of Fate
沉默與寒霜,Silence and Frost
社會的懊悔,Society's Remorse
黑暗物質,Something Dark
失落的繁華,Squandered Prosperity
雷劈,Struck by Lightning
無罪救贖,Succor of the Sinless
無垠恐懼之密,Terrible Secret of Space
學術界,The Academic
仰慕者,The Admirer
冒險之靈,The Adventuring Spirit
大藝術家,The Aesthete
藥劑師,The Apothecary
魔法師的右手,The Archmage's Right Hand
競技場冠軍,The Arena Champion
血滴子,The Army of Blood
藝者,The Artist
捕夢網,The Aspirant
天文巫師,The Astromancer
復仇者,The Avenger
覺醒,The Awakened
談判,The Bargain
戰火鍛造,The Battle Born
熊腰雌背,The Bear Woman
巨獸,The Beast
背叛,The Betrayal
苦澀綻放,The Bitter Blossom
熊熊大火,The Blazing Fire
穆什的祝福,The Blessing of Moosh
血肉之軀,The Body
識骨尋蹤,The Bones
頑強的戰鬥法,The Brawny Battle Mage
裂痕,The Breach
碎裂大帝,The Brittle Emperor
囤積,The Cache
不諧之音,The Cacophony
傳喚,The Calling
老千,The Card Sharp
食腐掠鴉,The Carrion Crow
製圖師,The Cartographer
巨變,The Cataclysm
災變,The Catalyst
姜太公釣魚,The Catch
天堂執法官,The Celestial Justicar
璀璨之石,The Celestial Stone
束縛之鍊,The Chains that Bind
詐欺師,The Cheater
天選之人,The Chosen
風暴將至,The Coming Storm
雷針,The Conduit
想要,The Craving
詛咒之王,The Cursed King
滅世之咒,The Damned
極致不凡,The Dapper Prodigy
黑暗術者,The Dark Mage
惡夢,The Darkest Dream
買賣,The Deal
你這個騙子,The Deceiver
無盡之淵,The Deep Ones
惡魔,The Demon
魅魔,The Demoness
終點站,The Destination
蹂躪之王,The Devastator
瘋醫,The Doctor
傀儡,The Doppelganger
巨龍,The Dragon
龍之心,The Dragon's Heart
夢想家,The Dreamer
夢之國度,The Dreamland
酒醉貴族,The Drunken Aristocrat
地牢大師,The Dungeon Master
輕鬆漫步,The Easy Stroll
怪異腐敗,The Eldritch Decay
空虛,The Emptiness
黑暗來犯,The Encroaching Darkness
無盡黯黑,The Endless Darkness
忍耐,The Endurance
執行者,The Enforcer
智慧啟蒙,The Enlightened
熱心民眾,The Enthusiasts
逃脫大師,The Escape
永恆戰爭,The Eternal War
空靈,The Ethereal
探險家,The Explorer
恐懼之眼,The Eye of Terror
龍眼,The Eye of the Dragon
無底深淵,The Fathomless Depths
盛宴,The Feast
魔鬼,The Fiend
魚販,The Fishmonger
製箭者,The Fletcher
芙蘿拉的贈禮,The Flora's Gift
愚人,The Fool
被遺忘的寶藏,The Forgotten Treasure
莫測之海,The Formless Sea
遺棄,The Forsaken
凝視前方,The Forward Gaze
狡狐,The Fox
荊棘中的狐狸,The Fox in the Brambles
賭徒,The Gambler
裝飾之力,The Garish Power
珠寶匠,The Gemcutter
紳士之風,The Gentleman
鬥士,The Gladiator
黃金年代,The Golden Era
雄偉動機,The Greatest Intentions
鴻溝,The Gulf
心心向榮,The Hale Heart
收割者,The Harvester
隱士,The Hermit
英勇射擊,The Heroic Shot
蜂巢知識,The Hive of Knowledge
寶箱,The Hoarder
勾鎖,The Hook
飢餓,The Hunger
永恆不朽,The Immortal
咒語,The Incantation
善,The Innocent
移花接木,The Inoculated
貪婪,The Insatiable
發明家,The Inventor
吟遊鐵人,The Iron Bard
小丑,The Jester
珠寶商的施捨,The Jeweller's Boon
記者,The Journalist
愛旅行,The Journey
王者之刃,The King's Blade
王者之心,The King's Heart
降落,The Landing
屹立不敗之人,The Last One Standing
最後晚宴,The Last Supper
龐然大物,The Leviathan
巫妖,The Lich
竊命者,The Life Thief
雄獅,The Lion
長期詐騙,The Long Con
守望特工,The Long Watch
暗黑之王,The Lord in Black
慶典之王,The Lord of Celebration
情人,The Lover
月影女祭司,The Lunaris Priestess
瘋癲之王,The Mad King
岩漿蟹,The Magma Crab
大師級,The Master
工匠大師,The Master Artisan
市長,The Mayor
傭兵,The Mercenary
傳訊者,The Messenger
鐵匠的贈禮,The Metalsmith's Gift
心靈之眼,The Mind's Eyes
神山,The Mountain
護理師,The Nurse
誓言,The Oath
晦澀,The Obscured
奉獻,The Offering
後裔,The Offspring
老人與海,The Old Man
逃脫,The One That Got Away
完人,The One With All
淨白,The Opulent
群聚之首,The Pack Leader
協約,The Pact
病患,The Patient
懺悔者,The Penitent
詩人,The Poet
博學,The Polymath
刺蝟,The Porcupine
奉獻的代價,The Price of Devotion
忠誠代價,The Price of Loyalty
預知代價,The Price of Prescience
守護的代價,The Price of Protection
先祖之物,The Primordial
黑暗王子,The Prince of Darkness
專家級,The Professor
月神後嗣,The Progeny of Lunaris
謎,The Puzzle
女王,The Queen
兔腳,The Rabbit's Foot
瘋狂恐喙,The Rabid Rhoa
大平台,The Realm
危機,The Risk
元素之儀,The Rite of Elements
力量之道,The Road to Power
無情的珊芎,The Ruthless Ceinture
犧牲,The Sacrifice
聖徒之財,The Saint's Treasure
武士之眼,The Samurai's Eye
創痕之原,The Scarred Meadow
清道夫,The Scavenger
學者,The Scholar
童子軍,The Scout
探尋者,The Seeker
生命之樹,The Sephirot
牧羊人的草鞋,The Shepherd's Sandals
持盾者,The Shieldbearer
捷徑,The Shortcut
支線任務,The Side Quest
魔符,The Sigil
海妖,The Siren
骷髏頭,The Skeleton
靈魂,The Soul
雷火,The Spark and the Flame
驕縱皇子,The Spoiled Prince
對峙,The Standoff
風暴呼喚者,The Stormcaller
策略家,The Strategist
召喚師,The Summoner
烈日,The Sun
外科醫師,The Surgeon
勘查員,The Surveyor
求生專家,The Survivalist
賴以為生,The Sustenance
劍王之禮,The Sword King's Salute
大奇術師,The Thaumaturgist
王座,The Throne
銲匠之桌,The Tinkerer's Table
不休萃取器,The Tireless Extractor
塔峰,The Tower
背叛者,The Traitor
變形,The Transformation
遠征,The Trial
風滾草,The Tumbleweed
暮光之月,The Twilight Moon
孿生,The Twins
暴君,The Tyrant
不怕不怕,The Undaunted
不許你胡說,The Undisputed
飛來橫財,The Unexpected Prize
聯姻,The Union
女武神,The Valkyrie
鋼之山谷,The Valley of Steel Boxes
平壤,The Vast
空想家,The Visionary
虛空,The Void
典獄長,The Warden
大軍閥,The Warlord
凝視者,The Watcher
蛛網,The Web
白騎士,The White Knight
白化,The Whiteout
凋零玫瑰,The Wilted Rose
風,The Wind
女巫,The Witch
彪狼,The Wolf
狼之聖物,The Wolf's Legacy
狼的影子,The Wolf's Shadow
狼咬,The Wolven King's Bite
狼獾,The Wolverine
噬世士,The World Eater
怨忿,The Wrath
骯髒,The Wretched
渴望學識,Thirst for Knowledge
黑暗三面,Three Faces in the Dark
三聲道,Three Voices
怒雷之空,Thunderous Skies
失落遺骨,Time-Lost Relic
寧靜,Tranquillity
賞金獵手,Treasure Hunter
極度癲狂,Triskaidekaphobia
忍辱,Turn the Other Cheek
未連鎖,Unchained
地底叢林,Underground Forest
單相思,Unrequited Love
虛榮,Vanity
汙穢之力,Vile Power
薇妮雅的信物,Vinia's Token
虛空元素,Void of the Elements
不穩定的力量,Volatile Power
錢與權,Wealth and Power
冬擁,Winter's Embrace
瘋貓,The Insane Cat
塵封記憶,A Dusty Memory
奧薇莉亞的恩典,Alivia's Grace
吉祥之志,Auspicious Ambitions
神聖之美,Divine Beauty
千變萬化,Ever-Changing
熊男,Man With Bear
點睛之筆,The Finishing Touch
鼠歸,The Return of the Rat
結婚禮物,The Wedding Gift
凜冽之風,A Chilling Wind
兄弟之贈,Brother's Gift
俄羅斯娃娃,Matryoshka
有毒信仰,Poisoned Faith
靈魂安息,Soul Quenched
神秘之火的起源,Fire Of Unknown Origin
幸運的人,The Fortunate
刺客的餽贈,Assassin's Gift
完美異能,Eldritch Perfection
來了兄弟,I See Brothers
是誰,Who Asked
